id_agente,total_casos,casos_ganados,casos_perdidos,winrate
176,1213,610,603,50.28854080791426
177,914,453,461,49.562363238512035
178,834,394,440,47.24220623501199
179,200,96,104,48.0
180,4,2,2,50.0
181,370,189,181,51.08108108108108
182,993,491,502,49.44612286002014
184,660,331,329,50.15151515151515
185,1580,747,833,47.27848101265823
186,230,119,111,51.73913043478261
187,814,395,419,48.52579852579852
190,207,107,100,51.690821256038646
193,1791,875,916,48.855388051367946
194,859,434,425,50.52386495925495
195,2,1,1,50.0
196,309,161,148,52.103559870550164
197,1300,648,652,49.84615384615385
198,27,16,11,59.25925925925925
199,323,166,157,51.39318885448917
200,651,309,342,47.465437788018434
201,754,366,388,48.54111405835544
202,15,8,7,53.333333333333336
203,75,34,41,45.33333333333333
208,1549,740,809,47.77275661717237
209,1127,589,538,52.26264418811003
210,975,488,487,50.05128205128205
211,586,258,328,44.027303754266214
214,224,100,124,44.642857142857146
215,78,38,40,48.717948717948715
216,210,99,111,47.14285714285714
218,579,301,278,51.98618307426598
221,1,1,0,100.0
222,537,289,248,53.81750465549349
223,10,6,4,60.0
224,513,249,264,48.53801169590643
225,52,28,24,53.84615384615385
226,933,478,455,51.23258306538049
227,61,31,30,50.81967213114754
228,261,148,113,56.70498084291188
229,473,249,224,52.64270613107822
231,367,176,191,47.956403269754766
233,983,524,459,53.306205493387594
234,1274,613,661,48.11616954474097
235,57,29,28,50.877192982456144
236,284,137,147,48.23943661971831
237,399,201,198,50.37593984962406
239,654,303,351,46.330275229357795
240,664,332,332,50.0
241,894,485,409,54.25055928411633
242,279,140,139,50.179211469534046
243,692,370,322,53.46820809248555
244,22,11,11,50.0
245,986,516,470,52.33265720081136
246,1171,593,578,50.640478223740395
247,1455,722,733,49.62199312714777
248,963,493,470,51.19418483904465
249,1473,696,777,47.25050916496945
250,52,26,26,50.0
251,296,150,146,50.67567567567568
253,986,488,498,49.49290060851927
254,1,1,0,100.0
260,648,308,340,47.53086419753087
262,383,187,196,48.825065274151434
263,132,74,58,56.060606060606055
264,374,178,196,47.593582887700535
267,595,284,311,47.73109243697479
268,424,200,224,47.16981132075472
269,174,78,96,44.827586206896555
270,1344,685,659,50.967261904761905
272,1307,646,661,49.42616679418516
273,21,9,12,42.857142857142854
274,1534,768,766,50.0651890482399
275,1212,565,647,46.617161716171616
276,795,392,403,49.308176100628934
277,1509,760,749,50.36447978793903
278,903,414,489,45.84717607973422
279,791,396,395,50.06321112515803
280,1024,514,510,50.1953125
281,650,335,315,51.53846153846153
283,760,364,396,47.89473684210526
284,592,307,285,51.858108108108105
286,979,460,519,46.986721144024514
288,737,338,399,45.86160108548169
291,635,312,323,49.13385826771653
292,308,154,154,50.0
293,907,421,486,46.4167585446527
294,1157,548,609,47.36387208297321
295,408,211,197,51.71568627450981
297,760,410,350,53.94736842105263
298,1055,490,565,46.44549763033176
299,1032,540,492,52.32558139534884
300,261,130,131,49.808429118773944
301,50,28,22,56.00000000000001
302,753,356,397,47.277556440903055
303,504,252,252,50.0
304,1374,673,701,48.98107714701601
305,1285,650,635,50.583657587548636
306,499,245,254,49.09819639278557
307,935,476,459,50.90909090909091
309,2,1,1,50.0
313,572,273,299,47.72727272727273
317,14,7,7,50.0
320,960,450,510,46.875
321,261,146,115,55.938697318007655
322,1207,535,672,44.32477216238608
329,987,483,504,48.93617021276596
330,338,175,163,51.77514792899408
334,459,205,254,44.66230936819172
335,3,2,1,66.66666666666666
336,5,2,3,40.0
337,584,278,306,47.6027397260274
338,660,339,321,51.36363636363637
339,533,266,267,49.906191369606
340,16,7,9,43.75
342,34,18,16,52.94117647058824
343,268,129,139,48.134328358208954
344,1071,535,536,49.95331465919701
345,29,16,13,55.172413793103445
348,9,5,4,55.55555555555556
350,35,17,18,48.57142857142857
351,605,299,306,49.421487603305785
352,1,0,1,0.0
356,1165,592,573,50.81545064377683
357,1083,516,567,47.64542936288089
358,79,41,38,51.89873417721519
360,362,183,179,50.552486187845304
361,767,386,381,50.32594524119948
364,189,86,103,45.5026455026455
365,14,6,8,42.857142857142854
366,818,379,439,46.33251833740831
369,819,396,423,48.35164835164835
371,1268,599,669,47.2397476340694
372,1199,587,612,48.95746455379483
374,1617,778,839,48.11379097093383
375,46,27,19,58.69565217391305
379,758,372,386,49.07651715039577
380,943,442,501,46.87168610816543
383,1281,630,651,49.18032786885246
387,767,358,409,46.67535853976532
388,695,325,370,46.76258992805755
389,1,0,1,0.0
390,1079,530,549,49.119555143651525
391,12,5,7,41.66666666666667
392,1092,554,538,50.73260073260073
396,1041,526,515,50.5283381364073
397,632,300,332,47.46835443037975
399,19,11,8,57.89473684210527
402,877,436,441,49.71493728620297
403,1505,715,790,47.50830564784053
404,949,497,452,52.3709167544784
406,326,180,146,55.21472392638037
407,631,317,314,50.237717908082416
410,957,481,476,50.26123301985371
414,817,378,439,46.266829865361075
416,926,466,460,50.323974082073434
417,332,153,179,46.08433734939759
418,447,220,227,49.21700223713646
421,1321,627,694,47.464042392127176
422,996,464,532,46.58634538152611
423,135,67,68,49.629629629629626
424,1123,520,603,46.30454140694568
426,1152,543,609,47.13541666666667
427,141,74,67,52.4822695035461
429,591,296,295,50.08460236886633
431,215,106,109,49.30232558139535
433,123,61,62,49.59349593495935
434,1125,546,579,48.53333333333333
435,3,2,1,66.66666666666666
438,1460,668,792,45.75342465753425
441,1354,653,701,48.2274741506647
442,162,86,76,53.086419753086425
443,922,442,480,47.939262472885034
444,1880,924,956,49.148936170212764
448,860,429,431,49.883720930232556
449,506,256,250,50.59288537549407
451,64,33,31,51.5625
452,1332,646,686,48.4984984984985
453,924,396,528,42.857142857142854
455,880,450,430,51.13636363636363
456,788,410,378,52.03045685279187
457,30,10,20,33.33333333333333
459,12,6,6,50.0
461,281,156,125,55.51601423487544
462,329,151,178,45.8966565349544
463,98,53,45,54.08163265306123
464,154,81,73,52.5974025974026
466,8,5,3,62.5
468,1123,557,566,49.59928762243989
469,81,38,43,46.913580246913575
474,23,9,14,39.130434782608695
478,2097,1033,1064,49.26084883166428
479,20,7,13,35.0
480,56,30,26,53.57142857142857
481,1342,673,669,50.149031296572275
482,4,2,2,50.0
483,1021,516,505,50.53868756121449
484,7,5,2,71.42857142857143
486,7,2,5,28.57142857142857
488,166,73,93,43.97590361445783
491,139,82,57,58.992805755395686
493,107,58,49,54.20560747663551
494,99,53,46,53.535353535353536
495,1446,703,743,48.61687413554633
496,83,32,51,38.55421686746988
497,316,168,148,53.16455696202531
498,1418,713,705,50.2820874471086
499,277,139,138,50.18050541516246
501,694,339,355,48.84726224783862
502,1265,620,645,49.01185770750988
507,1014,494,520,48.717948717948715
